Channel ID,Subscribers,Total Views,Total Videos,Avg. Likes,Engagement Rate,Upload Frequency,Youtube Profiles
UCPgfM-dk3XAb4T3DtT6Nwsw,6590000,1044098971,1076,97539,0.47,8.33,Spreading Gyan
UCFAr3FQxRhSzVNOD3vq1gMQ,1320000,59555654,443,5072,0.47,8.33,We Make Creators
UCZDCqcWZVNyvTSsoc-chKJg,4480000,335273139,335,16103,0.28,7.14,Manoj Dey
UCdvOCtR3a9ICLAw0DD3DpXg,1870000,549808822,903,29136,0.27,25,Skillsiya
UCsQ6_w5iUOUOMAUPclg2kcg,970000,69701225,306,3024,0.22,4.55,Learn With Lokesh Lalwani
UCT2xzagsBVtStUCA2ulvKmQ,7010000,1001836732,1728,39663,0.17,0.51,"Upcoming World"
UC2zYoCWdj3qLtAspeirqWUQ,777000,8067586,341,188,0.14,25,SJ SEARCHING
UC9dyrsYEmD4iGJ8Oz1G5dpw,20300000,2026789478,1093,60096,0.11,0.46,SOCIALEPFO
UCr6hHjMNvgQxErQ1ZJV4drw,1130000,128336093,1413,1713,0.07,1.85,Sarkari DNA
UCfj7SPM25A3RQSYE1YFPyVQ,1230000,107493838,1380,1154,0.06,16.67,WorkerVoice.in
UClmVVcYuH0ZPm3qsPm1TQIg,1670000,12694504,683,142,0.06,50,Anurag Aggarwal: Business Coach
UCWHCXSKASuSzao_pplQ7SPw,3010000,709571773,2951,7913,0.06,50,CA Rahul Malodia: Business Coach
UCBM6AwaDl8uPVAN_BUIqPUw,5240000,1973200456,1398,24642,0.06,7.14,Dr. Ujjwal Patni Business Coach
UCqXCX2DnQZh8e4VNT7MPTtA,6760000,473068795,1207,4602,0.05,50,Biz Tak
UCe3qdG0A_gr-sEdat5y2twQ,5230000,310005926,1417,2973,0.05,2,CA Rachana Phadke Ranade
UCtsetVYMkX8iPFS2oUOcXEw,3730000,568855599,1257,4810,0.04,1.05,NDTV Profit
UC2gdXA4n6_yEHos7CyQk7rA,1500000,312898683,1269,754,0.01,25,bekifaayati
UCdYV_l-cgsMRHZvp0zkmujg,1790000,205841382,23137,197,0.01,50,Money9
UCSWSOS6YXUbNMzTH-tV7Pfw,1960000,948071493,29540,477,0,50,Invest Aaj For Kal
UC3uJIdRFTGgLWrUziaHbzrg,1250000,374242375,45509,51,0,50,Dear Sir
